########  2026/01/15    市盈动    总市值
688187    #时代电气     19.75     716.3亿
600703    #三安光电     606.02    715.9亿
000596    #古井贡酒     13.54     715.2亿
600372    #中航机载     54.13     714.2亿
002414    #高德红外     91.86     712.8亿
603228    #景旺电子     56.18     710.1亿
601018    #宁波港       13.75     710.1亿
000933    #神火股份     15.22     708.2亿
600845    #宝信软件     48.37     707.9亿
000301    #东方盛虹     418.13    704.8亿
002131    #利欧股份     89.69     704.3亿
601231    #环旭电子     41.37     696.8亿
600895    #张江高科     84.72     696.4亿
600066    #宇通客车     15.82     694.3亿
301638    #南网数字     327.55    690.6亿
688361    #中科飞测     -3519.50  689.8亿
601179    #中国西电     55.01     688.4亿
002128    #电投能源     12.47     684.8亿
688385    #复旦微电     155.37    684.2亿
000963    #华东医药     18.62     682.1亿
600219    #南山铝业     13.54     681.0亿
301165    #锐捷网络     74.94     679.9亿
601991    #大唐发电     7.59      679.2亿
601838    #成都银行     5.35      677.7亿
300857    #协创数据     72.83     677.7亿
600674    #川投能源     11.99     674.6亿
002195    #岩山科技     276.52    673.1亿
002236    #大华股份     14.22     670.5亿
000960    #锡业股份     28.71     668.2亿
300454    #深信服       -620.89   666.9亿
600023    #浙能电力     7.99      663.7亿
002595    #豪迈科技     27.83     663.7亿
300058    #蓝色光标     253.33    661.0亿
688498    #源杰科技     467.50    660.1亿
301656    #联合动力     62.33     658.2亿
301377    #鼎泰高科     174.71    657.6亿
601901    #方正证券     12.92     654.5亿
001965    #招商公路     12.22     653.7亿
002080    #中材科技     33.00     651.1亿
601607    #上海医药     9.48      650.4亿
600570    #恒生电子     106.87    648.6亿
002555    #三七互娱     20.70     647.1亿
002156    #通富微电     56.35     646.5亿
600096    #云天化       10.20     643.0亿
688120    #华海清科     60.85     642.1亿
601877    #正泰电器     11.49     640.2亿
002648    #卫星化学     12.77     639.4亿
603260    #合盛硅业     -148.38   635.9亿
688027    #国盾量子     -1801.16  635.7亿
600236    #桂冠电力     19.69     635.3亿
002281    #光迅科技     66.06     633.2亿
601618    #中国中冶     11.94     632.1亿
301269    #华大九天     5227.11   631.5亿
600741    #华域汽车     10.10     631.2亿
688568    #中科星图     321.34    627.6亿
600988    #赤峰黄金     22.81     626.0亿
688472    #阿特斯       46.89     618.2亿
300751    #迈为股份     69.76     616.9亿
600522    #中天科技     19.75     615.7亿
600487    #亨通光电     19.40     614.5亿
600803    #新奥股份     13.45     614.5亿
002738    #中矿资源     224.93    612.5亿
688047    #龙芯中科     -116.42   611.3亿
601958    #金钼股份     19.94     607.9亿
688387    #信科移动-U   -275.97   607.2亿
688223    #晶科能源     -11.52    602.3亿
603659    #璞泰来       26.56     602.0亿
688122    #西部超导     69.47     601.8亿
002653    #海思科       152.80    601.6亿
300979    #华利集团     18.49     600.4亿
601377    #兴业证券     17.86     600.2亿
600588    #用友网络     -32.08    598.0亿
000559    #万向钱潮     57.85     596.4亿
301200    #大族数控     90.92     596.1亿
688585    #上纬新材     737.97    595.8亿
002064    #华峰化学     30.56     595.5亿
002465    #海格通信     -254.59   594.6亿
600021    #上海电力     14.55     591.6亿
688331    #荣昌生物     -80.53    591.3亿
002294    #信立泰       76.09     589.2亿
301611    #珂玛科技     180.47    588.4亿
002517    #恺英网络     27.84     587.7亿
600498    #烽火通信     85.57     585.0亿
600233    #圆通速递     15.21     583.5亿
600377    #宁沪高速     11.40     583.4亿
300759    #康龙化成     38.32     582.9亿
603392    #万泰生物     -251.48   581.5亿
600292    #电投水电     778.11    581.3亿
