########  2026/01/15    市盈动    总市值
605118    #力鼎光电     52.96     152.5亿
600728    #佳都科技     60.54     152.5亿
688549    #中巨芯-U     453.13    152.3亿
301050    #雷电微力     72.85     152.2亿
600589    #大位科技     300.10    152.2亿
688545    #兴福电子     69.01     152.2亿
002768    #国恩股份     18.55     152.2亿
600155    #华创云信     55.72     152.1亿
688063    #派能科技     238.28    152.0亿
300772    #运达股份     45.30     151.9亿
600556    #天下秀       319.41    151.9亿
001208    #华菱线缆     123.38    151.6亿
300008    #天海防务     49.08     151.5亿
002507    #涪陵榨菜     16.85     151.2亿
301091    #深城交       262.98    151.0亿
600064    #南京高科     4.64      150.9亿
688543    #国科军工     79.14     150.8亿
300068    #南都电源     -51.35    150.8亿
601083    #锦江航运     9.54      150.6亿
002701    #奥瑞金       10.49     150.5亿
600480    #凌云股份     19.15     150.2亿
002024    #ST易购       153.51    150.1亿
601718    #际华集团     -60.56    150.0亿
601778    #晶科科技     31.63     150.0亿
605296    #神农集团     24.37     150.0亿
688789    #宏华数科     29.00     149.9亿
002091    #江苏国泰     12.02     149.9亿
603200    #上海洗霸     94.11     149.9亿
688222    #成都先导     121.02    149.9亿
002882    #金龙羽       106.99    149.8亿
002163    #海南发展     -30.78    149.7亿
600618    #氯碱化工     18.30     149.5亿
300657    #弘信电子     123.67    149.3亿
301225    #恒勃股份     118.84    149.2亿
601929    #吉视传媒     -32.25    149.0亿
600755    #厦门国贸     19.36     149.0亿
000762    #西藏矿业     -1547.87  149.0亿
603876    #鼎胜新材     36.40     148.9亿
600006    #东风股份     109.91    148.8亿
600326    #西藏天路     493.74    148.8亿
002292    #奥飞娱乐     220.71    148.8亿
300595    #欧普康视     25.23     148.7亿
600353    #旭光电子     110.29    148.6亿
601949    #中国出版     46.77     148.5亿
300398    #飞凯材料     38.28     148.5亿
001331    #胜通能源     250.00    148.0亿
002534    #西子洁能     62.82     147.9亿
600759    #洲际油气     133.35    147.7亿
301510    #固高科技     248.12    147.6亿
600559    #老白干酒     27.63     147.5亿
603202    #天有为       14.19     147.4亿
002539    #云图控股     16.36     147.2亿
002192    #融捷股份     76.54     146.9亿
002290    #禾盛新材     76.34     146.7亿
600376    #首开股份     -3.54     146.5亿
300070    #碧水源       -137.90   146.4亿
002092    #中泰化学     -61.24    146.3亿
300353    #东土科技     -73.98    146.3亿
603063    #禾望电气     32.76     146.0亿
300520    #科大国创     -91.36    145.8亿
600775    #南京熊猫     -121.77   145.7亿
301389    #隆扬电子     133.69    145.7亿
605333    #沪光股份     25.71     145.6亿
001337    #四川黄金     29.56     145.5亿
603583    #捷昌驱动     28.70     145.4亿
300684    #中石科技     43.28     145.3亿
002563    #森马服饰     20.29     145.2亿
002310    #东方新能     -5270.60  145.2亿
301078    #孩子王       52.06     145.2亿
605598    #上海港湾     137.39    145.1亿
600500    #中化国际     -8.17     145.0亿
600611    #大众交通     110.82    144.9亿
002204    #大连重工     22.18     144.9亿
600750    #江中药业     15.88     144.7亿
000810    #创维数字     126.09    144.3亿
601619    #嘉泽新能     18.15     143.9亿
002408    #齐翔腾达     -74.01    143.8亿
600198    #大唐电信     -217.51   143.8亿
688321    #微芯生物     152.35    143.8亿
600420    #国药现代     13.45     143.6亿
688125    #安达智能     -111.08   143.6亿
002251    #步步高       47.75     143.6亿
688612    #威迈斯       25.27     143.3亿
002745    #木林森       51.34     143.2亿
600864    #哈投股份     19.73     143.1亿
600718    #东软集团     209.92    143.0亿
688001    #华兴源创     70.75     143.0亿
002338    #奥普光电     281.19    142.7亿
000089    #深圳机场     22.84     142.5亿
301489    #思泉新材     168.35    142.5亿
600211    #西藏药业     14.81     142.5亿
000880    #潍柴重机     57.20     142.5亿
600383    #金地集团     -2.38     142.2亿
600710    #苏美达       9.66      142.2亿
688228    #开普云       -2946.79  142.2亿
301551    #无线传媒     49.09     142.1亿
300814    #中富电路     382.46    142.0亿
301600    #慧翰股份     78.39     142.0亿
300053    #航宇微       -146.93   142.0亿
600529    #山东药玻     19.63     141.9亿
600648    #外高桥       64.31     141.8亿
000758    #中色股份     22.10     141.7亿
301291    #明阳电气     22.72     141.6亿
601827    #三峰环境     9.62      141.6亿
000035    #中国天楹     33.84     141.4亿
600872    #中炬高新     27.88     141.2亿
688182    #灿勤科技     122.80    141.2亿
002541    #鸿路钢构     21.27     140.8亿
300204    #舒泰神       -343.97   140.8亿
688605    #先锋精科     65.13     140.5亿
002426    #胜利精密     -144.19   140.5亿
002158    #汉钟精机     26.89     140.5亿
002173    #创新医疗     2227.70   140.3亿
601512    #中新集团     12.66     140.1亿
002287    #奇正藏药     24.78     139.9亿
002190    #成飞集成     -303.78   139.8亿
000998    #隆平高科     -15.77    139.6亿
301357    #北方长龙     927.13    139.5亿
603218    #日月股份     24.09     139.5亿
601595    #上海电影     75.01     139.4亿
002929    #润建股份     1623.67   139.3亿
300436    #广生堂       -93.64    139.3亿
002011    #盾安环境     13.59     139.3亿
000028    #国药一致     10.91     139.3亿
603983    #丸美生物     42.80     139.2亿
300171    #东富龙       79.32     139.2亿
605507    #国邦医药     15.55     139.0亿
600916    #中国黄金     31.12     138.9亿
600063    #皖维高新     27.40     138.8亿
300926    #博俊科技     16.60     138.8亿
300323    #华灿光电     -53.13    138.6亿
605599    #菜百股份     16.07     138.6亿
000536    #华映科技     -14.40    138.6亿
601801    #皖新传媒     10.86     138.4亿
301629    #矽电股份     414.02    138.4亿
600409    #三友化工     85.26     138.3亿
000818    #航锦科技     682.74    138.3亿
600399    #抚顺特钢     -18.87    138.2亿
002060    #广东建工     18.56     138.2亿
603515    #欧普照明     17.96     138.1亿
002967    #广电计量     43.37     138.1亿
300337    #银邦股份     161.86    138.0亿
000012    #南玻Ａ       68.76     137.9亿
301285    #鸿日达       -552.45   137.7亿
605020    #永和股份     22.00     137.7亿
688380    #中微半导     67.75     137.6亿
300986    #志特新材     87.51     137.5亿
603099    #长白山       69.04     137.5亿
600773    #西藏城投     -91.67    137.5亿
000506    #招金黄金     125.51    137.5亿
600552    #凯盛科技     80.11     137.4亿
301392    #汇成真空     583.78    137.4亿
002243    #力合科创     87.54     137.4亿
688306    #均普智能     -189.54   137.3亿
603906    #龙蟠科技     -93.07    137.1亿
600273    #嘉化能源     12.49     137.0亿
000869    #张裕Ａ       54.78     137.0亿
603093    #南华期货     29.19     136.8亿
601900    #南方传媒     12.06     136.8亿
601033    #永兴股份     13.75     136.7亿
002928    #华夏航空     16.52     136.5亿
000403    #派林生物     28.64     136.4亿
688776    #国光电气     -255.65   136.3亿
002979    #雷赛智能     63.84     136.3亿
001339    #智微智能     78.00     136.2亿
600373    #中文传媒     25.53     135.9亿
600058    #五矿发展     89.34     135.8亿
002104    #恒宝股份     273.05    135.8亿
603317    #天味食品     25.96     135.8亿
300188    #国投智能     -27.81    135.5亿
603588    #高能环境     15.72     135.4亿
000761    #本钢板材     -4.57     135.2亿
600481    #双良节能     -18.64    135.1亿
600507    #方大特钢     12.84     135.1亿
002931    #锋龙股份     470.58    135.0亿
600686    #金龙汽车     40.91     134.9亿
600216    #浙江医药     10.84     134.8亿
601026    #道生天合     65.79     134.6亿
300077    #国民技术     -136.94   134.6亿
300516    #久之洋       464.24    134.6亿
603031    #安孚科技     57.82     134.5亿
002446    #盛路通信     119.80    134.3亿
001359    #平安电工     50.13     134.3亿
002867    #周大生       11.42     134.3亿
600248    #陕建股份     8.98      134.3亿
300166    #东方国信     -102.15   134.1亿
000837    #秦川机床     211.02    133.8亿
300212    #易华录       -18.76    133.8亿
603027    #千禾味业     38.62     133.7亿
600717    #天津港       12.86     133.7亿
301662    #宏工科技     340.87    133.7亿
300855    #图南股份     81.28     133.7亿
301665    #泰禾股份     27.26     133.6亿
300785    #值得买       744.23    133.5亿
688631    #莱斯信息     -200.76   133.4亿
600693    #东百集团     113.66    133.4亿
301413    #安培龙       136.70    133.3亿
000553    #安道麦A      -23.64    133.3亿
002947    #恒铭达       24.49     133.2亿
688158    #优刻得-W     -119.66   133.1亿
300276    #三丰智能     263.15    133.0亿
002354    #天娱数科     233.35    132.9亿
002097    #山河智能     103.07    132.8亿
301584    #建发致新     43.26     132.6亿
601089    #福元医药     26.46     132.4亿
688160    #步科股份     222.26    132.0亿
605116    #奥锐特       27.98     131.9亿
600458    #时代新材     23.08     131.8亿
002498    #汉缆股份     20.86     131.7亿
002183    #怡亚通       280.58    131.7亿
920068    #天工股份     152.31    131.6亿
001227    #兰州银行     6.56      131.6亿
002913    #奥士康       34.88     131.4亿
605198    #安德利       34.73     131.3亿
002636    #金安国纪     56.96     131.3亿
688083    #中望软件     -240.99   131.3亿
002572    #索菲亚       14.43     131.2亿
605365    #立达信       77.23     131.1亿
301292    #海科新源     -76.79    131.1亿
601005    #重庆钢铁     -45.00    131.0亿
301015    #百洋医药     20.60     130.9亿
603124    #江南新材     59.34     130.7亿
300768    #迪普科技     104.62    130.6亿
600391    #航发科技     333.99    130.6亿
000719    #中原传媒     13.10     130.5亿
002859    #洁美科技     55.45     130.1亿
605123    #派克新材     41.06     130.0亿
688025    #杰普特       47.82     129.9亿
301263    #泰恩康       310.03    129.8亿
001233    #海安集团     21.07     129.8亿
000676    #智度股份     81.58     129.8亿
002221    #东华能源     129.06    129.6亿
600266    #城建发展     12.70     129.5亿
300348    #长亮科技     -852.05   129.4亿
002531    #天顺风能     139.20    129.4亿
300769    #德方纳米     -17.81    129.2亿
000065    #北方国际     20.00     129.2亿
603859    #能科科技     58.62     129.0亿
603100    #川仪股份     20.96     129.0亿
300580    #贝斯特       40.96     129.0亿
600501    #航天晨光     -85.41    128.9亿
603612    #索通发展     14.78     128.9亿
688439    #振华风光     106.06    128.8亿
300322    #硕贝德       190.45    128.8亿
000973    #佛塑科技     115.08    128.8亿
002174    #游族网络     126.44    128.7亿
300633    #开立医疗     288.01    128.7亿
601003    #柳钢股份     14.63     128.7亿
301371    #敷尔佳       29.68     128.6亿
603297    #永新光学     63.86     128.6亿
600110    #诺德股份     -102.87   128.6亿
002654    #万润科技     347.15    128.5亿
600908    #无锡银行     5.25      128.4亿
300693    #盛弘股份     34.81     128.4亿
601952    #苏垦农发     31.65     128.3亿
300680    #隆盛科技     45.73     128.2亿
600828    #茂业商业     230.34    128.2亿
688522    #纳睿雷达     131.30    128.1亿
600645    #中源协和     88.69     127.6亿
002063    #远光软件     77.49     127.6亿
301216    #万凯新材     123.15    127.4亿
002881    #美格智能     84.43     127.4亿
300415    #伊之密       16.93     127.4亿
002284    #亚太股份     29.08     127.3亿
000401    #金隅冀东     236.64    127.3亿
000031    #大悦城       -17.91    127.3亿
600267    #海正药业     20.70     127.2亿
002181    #粤传媒       82.00     127.1亿
688032    #禾迈股份     -161.19   127.1亿
002993    #奥海科技     26.56     127.0亿
002706    #良信股份     31.29     126.9亿
301396    #宏景科技     88.46     126.8亿
603267    #鸿远电子     42.77     126.8亿
002075    #沙钢股份     41.15     126.8亿
603809    #豪能股份     35.77     126.6亿
603319    #美湖股份     73.81     126.6亿
002036    #联创电子     186.38    126.5亿
600116    #三峡水利     27.04     126.4亿
688658    #悦康药业     -64.04    126.4亿
688128    #中国电研     24.81     126.0亿
920029    #开发科技     17.01     125.7亿
000006    #深振业Ａ     -1347.18  125.7亿
600882    #妙可蓝多     53.57     125.7亿
002838    #道恩股份     72.15     125.6亿
688531    #日联科技     75.33     125.4亿
002681    #奋达科技     734.87    125.3亿
301658    #首航新能     82.32     125.2亿
000552    #甘肃能化     -34.11    125.2亿
688091    #上海谊众     185.30    125.2亿
300997    #欢乐家       891.42    125.1亿
603690    #至纯科技     110.79    125.1亿
688233    #神工股份     131.71    125.0亿
002975    #博杰股份     88.65     125.0亿
600328    #中盐化工     162.01    124.9亿
002597    #金禾实业     23.95     124.9亿
601022    #宁波远洋     17.57     124.8亿
600744    #华银电力     26.22     124.7亿
000516    #国际医学     -31.85    124.7亿
688055    #龙腾光电     -51.99    124.7亿
688050    #爱博医疗     32.19     124.5亿
688626    #翔宇医疗     212.19    124.4亿
600787    #中储股份     20.98     124.3亿
300098    #高新兴       146.63    124.3亿
688190    #XD云路股     37.30     124.2亿
002003    #伟星股份     15.96     124.1亿
301177    #迪阿股份     90.67     124.0亿
600268    #国电南自     44.13     123.9亿
000700    #模塑科技     24.78     123.9亿
688003    #天准科技     -612.69   123.9亿
688351    #微电生理     221.69    123.9亿
002387    #维信诺       -5.72     123.9亿
300290    #荣科科技     -293.12   123.9亿
002434    #万里扬       27.22     123.6亿
600993    #马应龙       18.49     123.5亿
603013    #亚普股份     22.21     123.5亿
301127    #武汉天源     67.28     123.4亿
002093    #国脉科技     47.20     123.3亿
301232    #飞沃科技     201.02    123.3亿
301421    #波长光电     358.75    123.2亿
601828    #美凯龙       -2.94     123.2亿
301069    #凯盛新材     79.73     123.1亿
688661    #和林微纳     250.72    123.0亿
300180    #华峰超纤     96.72     122.9亿
001330    #博纳影业     -8.31     122.9亿
603680    #今创集团     18.69     122.8亿
600888    #新疆众和     17.32     122.5亿
300184    #力源信息     58.86     122.4亿
600996    #贵广网络     -11.25    122.3亿
002651    #利君股份     105.19    122.3亿
603883    #老百姓       17.34     122.3亿
600729    #重庆百货     11.97     122.2亿
002258    #利尔化学     24.03     122.1亿
688016    #心脉医疗     21.34     122.1亿
688161    #威高骨科     44.15     122.1亿
600478    #科力远       69.46     121.9亿
002941    #新疆交建     20.32     121.7亿
600055    #万东医疗     -335.25   121.6亿
688603    #天承科技     151.98    121.6亿
002605    #姚记科技     23.36     121.5亿
301087    #可孚医疗     35.01     121.5亿
300842    #帝科股份     309.27    121.5亿
000672    #上峰水泥     17.23     121.3亿
603619    #中曼石油     20.05     121.2亿
300846    #首都在线     -91.40    121.1亿
603283    #赛腾股份     22.65     121.1亿
603389    #*ST亚振      -289.02   121.0亿
603061    #金海通       72.62     121.0亿
600782    #新钢股份     25.20     121.0亿
603108    #润达医疗     -55.77    121.0亿
002342    #巨力索具     820.01    121.0亿
002170    #芭田股份     13.21     121.0亿
600734    #实达集团     -103.54   120.9亿
301183    #东田微       113.29    120.9亿
301209    #联合化学     191.12    120.8亿
688239    #航宇科技     62.04     120.7亿
002675    #东诚药业     60.68     120.6亿
603402    #陕西旅游     24.48     120.5亿
301617    #博苑股份     68.21     120.5亿
688591    #泰凌微       64.56     120.3亿
600461    #洪城环境     9.67      120.2亿
002083    #孚日股份     30.44     120.1亿
600269    #赣粤高速     5.53      120.0亿
603601    #再升科技     110.74    120.0亿
300893    #松原安全     34.20     120.0亿
000016    #深康佳Ａ     -9.16     119.9亿
300820    #英杰电气     46.58     119.9亿
300181    #佐力药业     17.62     119.8亿
603103    #横店影视     43.59     119.7亿
603235    #天新药业     19.50     119.7亿
000727    #冠捷科技     -14.91    119.6亿
002626    #金达威       24.85     119.5亿
603393    #新天然气     10.99     119.5亿
600185    #珠免集团     -15.86    119.5亿
300331    #苏大维格     251.13    119.5亿
600866    #星湖科技     8.83      119.5亿
600325    #华发股份     87.57     119.4亿
688757    #胜科纳米     158.23    119.4亿
600285    #羚锐制药     13.75     119.4亿
688165    #埃夫特-U     -44.69    119.3亿
688690    #纳微科技     83.02     119.3亿
601222    #林洋能源     24.88     119.1亿
688076    #ST诺泰       20.08     119.0亿
601116    #三江购物     77.96     119.0亿
301109    #军信股份     14.74     119.0亿
688717    #艾罗能源     59.30     118.9亿
001914    #招商积余     12.99     118.9亿
688401    #路维光电     51.89     118.8亿
300328    #宜安科技     25984.72  118.8亿
003009    #中天火箭     -303.20   118.8亿
688261    #东微半导     183.12    118.5亿
000697    #ST炼石       -50.75    118.5亿
000567    #海德股份     51.98     118.4亿
688319    #欧林生物     187.07    118.4亿
600751    #海航科技     91.62     118.3亿
600797    #浙大网新     284.36    118.3亿
920522    #纳科诺尔     155.77    118.1亿
000572    #海马汽车     -118.98   118.1亿
002705    #新宝股份     10.53     118.0亿
301517    #陕西华达     -618.45   118.0亿
600094    #大名城       34.33     117.9亿
600682    #南京新百     41.61     117.8亿
301207    #华兰疫苗     66.74     117.7亿
300525    #博思软件     1194.12   117.7亿
603991    #至正股份     -299.00   117.6亿
002212    #天融信       -37.42    117.5亿
300790    #宇瞳光学     46.88     117.5亿
601096    #宏盛华源     31.12     117.4亿
300294    #博雅生物     25.67     117.4亿
688368    #晶丰明源     376.36    117.1亿
600639    #浦东金桥     25.95     117.1亿
301031    #中熔电气     36.19     116.8亿
688289    #圣湘生物     45.79     116.8亿
603826    #坤彩科技     143.38    116.8亿
301382    #蜂助手       65.14     116.8亿
600345    #长江通信     526.34    116.7亿
002961    #瑞达期货     22.69     116.7亿
688107    #安路科技     -45.73    116.6亿
002557    #洽洽食品     52.05     116.6亿
688365    #光云科技     -581.29   116.5亿
688586    #江航装备     205.80    116.3亿
600640    #国脉文化     445.18    116.3亿
600509    #天富能源     23.28     116.1亿
002519    #银河电子     -216.91   116.1亿
000795    #英洛华       43.37     116.1亿
688150    #莱特光电     48.40     116.1亿
600133    #东湖高新     114.76    115.8亿
603262    #技源集团     74.46     115.7亿
003010    #若羽臣       82.79     115.7亿
600210    #紫江企业     8.98      115.6亿
002215    #诺普信       15.04     115.4亿
000058    #深赛格       93.15     115.4亿
600649    #城投控股     30.15     115.2亿
002588    #史丹利       10.60     115.2亿
300072    #海新能科     149.01    115.1亿
600654    #中安科       43.59     114.8亿
301306    #西测测试     -81.18    114.7亿
603072    #天和磁材     71.80     114.7亿
002123    #梦网科技     -147.63   114.7亿
600307    #酒钢宏兴     -12.10    114.6亿
000859    #国风新材     -131.01   114.6亿
603915    #国茂股份     46.36     114.6亿
300185    #通裕重工     102.51    114.6亿
002214    #*ST大立      -69.67    114.6亿
600572    #康恩贝       14.71     114.6亿
603162    #海通发展     34.01     114.5亿
301563    #云汉芯城     105.40    114.5亿
603533    #掌阅科技     -39.62    114.5亿
300687    #赛意信息     310.47    114.3亿
600184    #光电股份     347.47    114.3亿
600748    #上实发展     -14.05    114.2亿
002345    #潮宏基       27.02     114.2亿
603040    #新坐标       40.89     114.1亿
002488    #金固股份     203.50    114.0亿
301262    #海看股份     26.78     114.0亿
688556    #高测股份     -104.57   113.8亿
002006    #精工科技     58.96     113.8亿
002351    #漫步者       28.44     113.7亿
301556    #托普云农     93.39     113.7亿
001323    #慕思股份     18.24     113.6亿
688139    #海尔生物     42.82     113.3亿
603626    #科森科技     -73.89    113.1亿
300741    #华宝股份     110.10    113.1亿
000756    #新华制药     33.10     113.1亿
000534    #万泽股份     49.88     113.0亿
601163    #三角轮胎     12.41     113.0亿
688700    #东威科技     99.10     112.8亿
688499    #利元亨       178.12    112.8亿
600037    #歌华有线     4925.31   112.7亿
600597    #光明乳业     96.85     112.6亿
603418    #友升股份     23.52     112.6亿
601311    #骆驼股份     13.63     112.5亿
603057    #紫燕食品     43.46     112.5亿
603123    #翠微股份     -27.11    112.5亿
603328    #依顿电子     23.00     112.4亿
300613    #富瀚微       102.47    112.1亿
600757    #长江传媒     9.78      112.0亿
688739    #成大生物     50.94     111.9亿
603281    #江瀚新材     26.04     111.9亿
603327    #福蓉科技     102.90    111.9亿
000828    #东莞控股     10.04     111.9亿
688625    #呈和科技     36.81     111.8亿
600186    #莲花控股     33.14     111.7亿
002657    #中科金财     -74.81    111.6亿
300159    #*ST新研      -34.68    111.5亿
603226    #菲林格尔     -238.97   111.5亿
002943    #宇晶股份     369.55    111.4亿
688443    #智翔金泰-U   -25.10    111.3亿
300493    #润欣科技     181.19    111.3亿
603693    #江苏新能     21.38     111.3亿
002062    #宏润建设     34.24     111.2亿
600610    #中毅达       184.90    111.2亿
688535    #华海诚科     415.50    111.1亿
002985    #北摩高科     65.28     111.0亿
603599    #广信股份     15.99     111.0亿
603496    #恒为科技     213.29    111.0亿
605389    #长龄液压     75.33     110.9亿
301535    #浙江华远     105.36    110.9亿
002807    #江阴银行     6.50      110.8亿
000829    #天音控股     -145.21   110.7亿
300435    #中泰股份     24.73     110.6亿
002043    #兔宝宝       13.18     110.6亿
688155    #先惠技术     40.40     110.6亿
688418    #震有科技     -175.59   110.5亿
300324    #旋极信息     -47.75    110.4亿
301571    #国科天成     65.72     110.3亿
688366    #昊海生科     27.15     110.3亿
000712    #锦龙股份     54.36     110.3亿
688106    #金宏气体     71.32     110.3亿
002255    #海陆重工     25.85     110.2亿
300319    #麦捷科技     33.71     110.1亿
601200    #上海环境     15.86     110.1亿
603363    #傲农生物     19.95     110.1亿
688095    #福昕软件     5876.09   110.1亿
000930    #中粮科技     104.27    110.1亿
301150    #中一科技     213.36    110.1亿
000860    #顺鑫农业     106.95    109.8亿
688109    #品茗科技     169.86    109.7亿
300725    #药石科技     72.53     109.7亿
300026    #红日药业     101.83    109.7亿
603033    #三维股份     -72.06    109.6亿
002053    #云南能投     36.22     109.6亿
300005    #探路者       248.56    109.5亿
002246    #北化股份     43.59     109.5亿
000078    #海王生物     319.38    109.5亿
000420    #吉林化纤     251.37    109.4亿
300641    #正丹股份     12.15     109.4亿
300168    #万达信息     -20.12    109.3亿
002839    #张家港行     5.21      109.3亿
600861    #北京人力     8.14      109.3亿
300127    #银河磁体     56.34     109.1亿
300598    #诚迈科技     -120.70   109.1亿
600604    #市北高新     -43.69    109.0亿
000839    #国安股份     967.75    109.0亿
002668    #TCL智家      8.36      109.0亿
002061    #浙江交科     11.42     108.8亿
002527    #新时达       1877.65   108.8亿
301327    #华宝新能     57.18     108.6亿
600389    #江山股份     19.16     108.6亿
301137    #哈焊华通     311.68    108.4亿
300770    #新媒股份     15.88     108.4亿
002099    #海翔药业     1114.07   108.3亿
000950    #重药控股     21.13     108.2亿
688507    #索辰科技     -106.74   108.1亿
688028    #沃尔德       113.29    107.9亿
600821    #金开新能     14.41     107.9亿
300139    #晓程科技     105.18    107.7亿
601882    #海天精工     23.92     107.7亿
603686    #福龙马       71.30     107.7亿
002965    #祥鑫科技     50.90     107.6亿
301090    #华润材料     -84.50    107.3亿
301487    #盟固利       1097.58   107.2亿
002277    #友阿股份     125.87    107.2亿
002511    #中顺洁柔     34.91     107.2亿
000796    #凯撒旅业     -300.07   107.1亿
001285    #瑞立科密     33.84     107.1亿
002233    #塔牌集团     13.66     107.1亿
000561    #烽火电子     -91.55    107.1亿
601101    #昊华能源     14.48     107.0亿
001212    #中旗新材     2168.63   107.0亿
600855    #航天长峰     -103.73   106.9亿
300298    #三诺生物     37.96     106.8亿
000070    #特发信息     1001.56   106.8亿
300075    #数字政通     -153.40   106.8亿
601528    #瑞丰银行     5.25      106.7亿
300153    #科泰电源     209.61    106.7亿
300774    #倍杰特       75.52     106.6亿
688262    #国芯科技     -62.79    106.6亿
301086    #鸿富瀚       97.88     106.6亿
603112    #华翔股份     19.66     106.4亿
301529    #福赛科技     74.78     106.4亿
002004    #华邦健康     13.03     106.3亿
688518    #联赢激光     73.74     106.3亿
605488    #福莱新材     123.40    106.3亿
300678    #中科信息     1764.69   106.2亿
688093    #世华科技     25.13     106.0亿
003039    #顺控发展     38.06     105.9亿
688486    #龙迅股份     63.78     105.9亿
000777    #中核科技     71.16     105.9亿
000503    #国新健康     -57.35    105.9亿
300063    #天龙集团     71.50     105.7亿
300284    #苏交科       100.30    105.7亿
300900    #广联航空     455.81    105.7亿
002051    #中工国际     32.11     105.7亿
300596    #利安隆       20.21     105.7亿
301093    #华兰股份     148.52    105.6亿
688257    #新锐股份     47.82     105.5亿
600567    #山鹰国际     -27.28    105.3亿
001236    #弘业期货     3779.66   105.3亿
603220    #中贝通信     92.83     105.3亿
688513    #苑东生物     35.81     105.1亿
300031    #宝通科技     37.72     105.0亿
002537    #海联金汇     39.23     105.0亿
688236    #春立医疗     41.09     104.9亿
600973    #宝胜股份     132.26    104.9亿
920799    #艾融软件     150.97    104.9亿
603248    #锡华科技     48.68     104.9亿
688788    #科思科技     -41.82    104.8亿
601890    #亚星锚链     37.19     104.8亿
300925    #法本信息     92.34     104.6亿
600033    #福建高速     9.54      104.6亿
002550    #千红制药     20.46     104.6亿
688277    #天智航-U     -68.67    104.4亿
603166    #福达股份     35.36     104.4亿
000949    #新乡化纤     58.77     104.4亿
300872    #天阳科技     135.43    104.3亿
600163    #中闽能源     23.84     104.3亿
300861    #美畅股份     49.78     104.3亿
688177    #百奥泰       -34.93    104.3亿
603508    #思维列控     19.72     104.2亿
300792    #壹网壹创     79.36     104.2亿
301559    #中集环科     78.47     104.2亿
603919    #金徽酒       24.12     104.1亿
002827    #高争民爆     61.93     104.1亿
300963    #中洲特材     144.84    104.0亿
002167    #东方锆业     201.42    103.9亿
002254    #泰和新材     209.88    103.7亿
688593    #新相微       950.48    103.6亿
301330    #熵基科技     60.57     103.6亿
002082    #万邦德       1736.38   103.4亿
000049    #德赛电池     34.38     103.4亿
605188    #国光连锁     674.77    103.3亿
300815    #玉禾田       17.96     103.3亿
002208    #合肥城建     -197.22   103.2亿
002023    #海特高新     65.04     103.2亿
301632    #广东建科     505.70    103.2亿
002897    #意华股份     28.68     103.1亿
002110    #三钢闽光     42.00     103.0亿
920077    #吉林碳谷     59.28     102.7亿
600129    #太极集团     46.42     102.7亿
300648    #星云股份     -220.05   102.7亿
600666    #奥瑞德       26.46     102.6亿
000899    #赣能股份     8.82      102.4亿
002216    #三全食品     19.35     102.1亿
301602    #超研股份     86.07     102.1亿
603277    #银都股份     16.37     101.9亿
300128    #锦富技术     -46.34    101.9亿
002647    #*ST仁东      20.84     101.8亿
002713    #*ST东易      -131.05   101.8亿
688066    #航天宏图     -20.83    101.8亿
300304    #云意电气     23.04     101.8亿
601860    #紫金银行     6.34      101.8亿
600395    #盘江股份     -439.00   101.8亿
300444    #双杰电气     61.01     101.7亿
688232    #新点软件     -71.48    101.6亿
600592    #龙溪股份     65.16     101.6亿
601226    #华电科工     63.44     101.6亿
600587    #新华医疗     17.54     101.6亿
300486    #东杰智能     910.84    101.4亿
300036    #超图软件     177.06    101.4亿
300499    #高澜股份     222.02    101.3亿
300482    #万孚生物     56.80     101.3亿
002458    #益生股份     238.86    101.2亿
600740    #山西焦化     -151.65   101.2亿
301080    #百普赛斯     57.28     101.1亿
002741    #光华科技     83.92     101.1亿
300327    #中颖电子     132.89    101.1亿
603323    #苏农银行     4.43      100.9亿
002471    #中超控股     -302.85   100.9亿
002957    #科瑞技术     30.63     100.8亿
301565    #中仑新材     113.14    100.8亿
002239    #奥特佳       67.04     100.7亿
300352    #北信源       -45.42    100.6亿
603193    #润本股份     28.34     100.5亿
300252    #金信诺       954.76    100.4亿
300539    #横河精密     200.86    100.4亿
600422    #昆药集团     27.95     100.4亿
603043    #广州酒家     16.73     100.3亿
688408    #中信博       61.95     100.3亿
301128    #强瑞技术     64.78     100.1亿
688049    #炬芯科技     49.52     100.1亿
603950    #长源东谷     27.40     100.1亿
688225    #亚信安全     -18.77    100.1亿
002392    #北京利尔     21.59     100.1亿
601886    #江河集团     16.40     100.0亿
603800    #洪田股份     120.14    100.0亿
605305    #中际联合     17.10     99.97亿
002935    #天奥电子     492.27    99.92亿
600810    #神马股份     -225.91   99.90亿
001311    #多利科技     39.10     99.89亿
300263    #隆华科技     41.51     99.88亿
600370    #三房巷       -16.03    99.75亿
002796    #世嘉科技     -146.55   99.68亿
603216    #梦天家居     132.57    99.52亿
002516    #旷达科技     55.09     99.43亿
688787    #海天瑞声     1782.81   99.36亿
601330    #绿色动力     11.89     99.28亿
300783    #三只松鼠     46.28     99.13亿
000922    #佳电股份     37.94     99.10亿
301338    #凯格精机     61.21     98.96亿
002988    #豪美新材     51.71     98.71亿
301071    #力量钻石     159.84    98.62亿
300303    #聚飞光电     35.05     98.61亿
300740    #水羊股份     54.40     98.56亿
688138    #清溢光电     51.41     98.53亿
603938    #三孚股份     115.13    98.45亿
002782    #可立克       31.73     98.30亿
002081    #金螳螂       19.31     98.25亿
