#code#####  #name                        #start      #base    #number
#                                                             
#           #基指                                             
0950109     #上证10年地债                2013-12-31  100      2531
0950110     #上证超长国债                2008-12-31  100      60
0950111     #沪短期AAA央企债             2016-12-30  100      224
0950112     #沪短期高等级信用债          2016-12-30  100      812
0950113     #沪质中高债3-5               2008-12-31  100      634
0950115     #上证ABS                     2016-12-30  100      -
0950116     #上证优先级ABS               2016-12-30  100      -
0950117     #上证绿色债                  2016-12-30  100      261
0950118     #上证绿色公司债              2016-12-30  100      138
0950119     #上证可交换债                2015-12-31  100      1
0950120     #上证转债及可交换债          2002-12-31  100      183
0950122     #沪长三角高等级绿债          2017-12-29  100      77
0950126     #沪信用债AAA                 2011-12-31  100      4661
0950127     #沪信用债AA+                 2008-12-31  100      919
0950128     #沪信用债AA                  2008-12-31  100      145
0950129     #沪信用债0-1                 2011-12-31  100      1302
0950130     #沪信用债1-3                 2008-12-31  100      2912
0950131     #沪信用债3-5                 2011-12-31  100      1983
0950132     #沪信用债5-7                 2007-12-31  100      278
0950133     #沪信用债7-10                2011-12-31  100      405
0950134     #沪信用债1-5                 2011-12-31  100      4895
0950135     #沪信用债中高等级            2007-12-31  100      5580
0950136     #沪信用债0-1中高等级         2011-12-31  100      1242
0950137     #沪信用债1-3中高等级         2007-12-31  100      2818
0950138     #沪信用债3-5中高等级         2007-12-31  100      1933
0950139     #沪信用债5-7中高等级         2007-12-31  100      277
0950140     #沪信用债7-10中高等级        2011-12-31  100      405
0950141     #沪信用债1-5中高等级         2007-12-31  100      4751
0950142     #沪AAA短期信用债             2011-12-31  100      1100
0950143     #沪信用债1-3AAA              2011-12-31  100      2342
0950144     #沪信用债3-5AAA              2011-12-31  100      1531
0950145     #沪信用债5-7AAA              2011-12-31  100      245
0950146     #沪信用债7-10AAA             2011-12-31  100      397
0950147     #沪信用债1-5AAA              2011-12-31  100      3873
0950148     #沪信用债0-1AA+              2011-12-31  100      219
0950149     #沪信用债1-3AA+              2009-12-31  100      476
0950150     #沪信用债3-5AA+              2008-12-31  100      402
0950151     #沪信用债5-7AA+              2008-12-31  100      32
0950152     #沪信用债7-10AA+             2009-12-31  100      8
0950153     #沪信用债1-5AA+              2008-12-31  100      878
0950154     #沪信用债0-1AA               2012-12-31  100      60
0950155     #沪信用债1-3AA               2009-12-31  100      94
0950156     #沪信用债3-5AA               2008-12-31  100      50
0950157     #沪信用债5-7AA               2008-12-31  100      1
0950158     #沪信用债7-10AA              2009-12-31  100      -
0950159     #沪信用债1-5AA               2008-12-31  100      144
0950165     #沪科创债                    2022-06-30  100      1114
0950166     #沪高等级科创债              2022-06-30  100      978
0950167     #沪AAA科创债                 2022-06-30  100      957
0950168     #沪0-3AAA科创债              2022-06-30  100      
0950169     #沪0-5AAA科创债              2022-06-30  100      
0950170     #沪AAA国企科创债             2022-06-30  100      941
0950171     #沪0-3AAA国企科创债          2022-06-30  100      
0950172     #沪0-5AAA国企科创债          2022-06-30  100      
0950175     #沪30年国债                  2010-12-31  100      12
0950176     #沪0-2国债及政金债           2007-12-31  100      71
0950177     #沪1-5国债及政金债           2007-12-31  100      67
0950183     #上证绿色债AAA               2016-12-30  100      194
0950184     #上证高等级绿色债            2016-12-30  100      248
0950185     #上证绿色企债                2016-12-30  100      123
0950188     #上证3-7年地债               2013-12-31  100      3611
0950190     #上证长三角信用债            2014-12-31  100      1027
0950191     #上证长三角综合债            2014-12-31  100      2478
0950192     #上证大湾区信用债            2014-12-31  100      350
0950193     #上证大湾区综合债            2014-12-31  100      1364
0950197     #上证证券公司债              2016-12-30  100      426
0950198     #上证证券公司债AAA           2016-12-30  100      297
0950199     #上证证券公司债高等级        2016-12-30  100      410
0950200     #上证证券公司债0-3AAA        2016-12-30  100      387
0950201     #上证证券公司债0-3高等级     2016-12-30  100      529
0950202     #沪政金债                    2014-12-31  100      9
0950203     #沪政金债0-3                 2014-12-31  100      6
0950204     #沪政金债0-5                 2014-12-31  100      7
0950205     #上证信用债隐含AA+以上       2016-12-30  100      1777
0950206     #上证信用债隐含AA以上        2016-12-30  100      3195
0950207     #上证信用债0-1隐含AA+以上    2016-12-30  100      422
0950208     #上证信用债1-3隐含AA+以上    2016-12-30  100      811
0950209     #上证信用债1-5隐含AA+以上    2016-12-30  100      1283
0950210     #上证信用债3-5隐含AA+以上    2016-12-30  100      472
0950211     #上证信用债0-1隐含AA以上     2016-12-30  100      759
0950212     #上证信用债1-3隐含AA以上     2016-12-30  100      1605
0950213     #上证信用债1-5隐含AA以上     2016-12-30  100      2569
0950214     #上证信用债3-5隐含AA以上     2016-12-30  100      964
0950229     #沪国债及政金债              2007-12-31  100      185
0950230     #沪0-1国债及政金债           2007-12-31  100      48
0950231     #沪0-3国债及政金债           2007-12-31  100      88
0950232     #沪1-3国债及政金债           2007-12-31  100      40
0950233     #沪0-5国债及政金债           2007-12-31  100      115
0950234     #沪3-5国债及政金债           2007-12-31  100      27
0950235     #上证长江信用债              2014-12-31  100      2576
0950236     #上证黄河信用债              2014-12-31  100      938
0950237     #上证京津冀信用债            2014-12-31  100      1217
0950240     #上证央企债                  2013-12-31  100      324
0950241     #上证0-3年央企债             2013-12-31  100      164
